viewport,group,story,theme,axe_rules_flagged,checks_needing_manual_review,canvas_width,content_width
1200,Elements/FileUpload/DropZone,Error,light,color-contrast,,1200,1200
1200,Elements/FileUpload/DropZone,Error,dark,,,1200,1200
1200,Elements/FileUpload/DropZone,File Item States,light,aria-progressbar-name; color-contrast,color-contrast,1200,1200
1200,Elements/FileUpload/DropZone,File Item States,dark,aria-progressbar-name,color-contrast,1200,1200
1200,Elements/FileUpload/DropZone,Single File Upload,light,,,1200,1200
1200,Elements/FileUpload/DropZone,Single File Upload,dark,,,1200,1200
1200,Elements/FileUpload/DropZone,Multiple File Upload,light,,color-contrast,1200,1200
1200,Elements/FileUpload/DropZone,Multiple File Upload,dark,,color-contrast,1200,1200
1200,Elements/Modal,Default,light,color-contrast,,1200,1200
1200,Elements/Modal,Default,dark,color-contrast,,1200,1200
1200,Elements/Modal,Vertical Footer,light,color-contrast,,1200,1200
1200,Elements/Modal,Vertical Footer,dark,color-contrast,,1200,1200
1200,Elements/Modal,Large Modal,light,color-contrast,,1200,1200
1200,Elements/Modal,Large Modal,dark,color-contrast,,1200,1200
1200,Elements/Modal,Primary Only,light,color-contrast,,1200,1200
1200,Elements/Modal,Primary Only,dark,color-contrast,,1200,1200
1200,Elements/Modal,No Blur,light,color-contrast,,1200,1200
1200,Elements/Modal,No Blur,dark,color-contrast,,1200,1200
1200,Elements/Modal,Custom Icon,light,color-contrast,,1200,1200
1200,Elements/Modal,Custom Icon,dark,color-contrast,,1200,1200
1200,Elements/Modal,Focus Management,light,color-contrast,,1200,1200
1200,Elements/Modal,Focus Management,dark,color-contrast,,1200,1200
1200,Elements/Modal,Dismissal Policy,light,,,1200,1200
1200,Elements/Modal,Dismissal Policy,dark,,,1200,1200
1200,Components/ProgressBar,Default,light,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,Default,dark,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,Small,light,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,Small,dark,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,Medium,light,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,Medium,dark,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,With Metadata,light,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,With Metadata,dark,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,Percentage On Top,light,aria-progressbar-name,,1200,1200
1200,Components/ProgressBar,Percentage On Top,dark,aria-progressbar-name,,1200,1200
